Index,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Pages,Num Pages,Issue,Volume,Notes,Manual Tags
13,conferencePaper,2014,"Bhat, A. S.; Amith, V. S.; Prasad, N. S.; Mohan, D. M.",An Efficient Classification Algorithm for Music Mood Detection in Western and Hindi Music Using Audio Feature Extraction,2014 Fifth International Conference on Signal and Image Processing,,,10.1109/ICSIP.2014.63,,359–364,,,,A1,audio content analysis; audio feature extraction; audio signal; audio signal processing; efficient classification algorithm; emotion recognition; feature extraction; Harmonic analysis; harmonic features; human music perception; Indian Hindi film music; information extraction; mood; mood detection; music; music classification; music emotion; music mood detection; neural nets; neural networks; rhythm; rhythmic features; signal classification; song classification; spectral features; Thayer model; Thayers model; Timbre; Western music
14,conferencePaper,2016,"Tiple, B. S.; Joshi, P. P.; Patwardhan, M.",An efficient framework for recommendation of Hindustani Art Music,2016 International Conference on Computing Communication Control and automation (ICCUBEA),,,10.1109/ICCUBEA.2016.7860008,,1–5,,,,A1,art; feature extraction; hidden Markov models; Hindustani art music (HAM); Hybrid Recommendation Algorithm; Low level features; mood; music; Nava-rasa mood model; raga; recommender systems
15,conferencePaper,2016,"Shahmansouri, H.; Zhang, J. Z.",An empirical study on mood classification in music through computational approaches,2016 3rd International Conference on Systems and Informatics (ICSAI),,,10.1109/ICSAI.2016.7811106,,1050–1055,,,,A1,benchmark testing; computational approaches; feature discretization; feature extraction; feature selection; information retrieval; mood; mood classification; music; music data classification; music datasets; music information retrieval; pattern classification; principal component analysis; Support Vector Machines
16,conferencePaper,2012,"Rao, P.",Audio metadata extraction: The case for Hindustani classical music,2012 International Conference on Signal Processing and Communications (SPCOM),,,10.1109/SPCOM.2012.6290243,,1–5,,,,A1,acoustic metadata; artist; audio databases; audio metadata extraction; audio signal processing; audio signal processing method; community-contributed semantic labels; composer; culture-specific tags; data representations; data structures; digital archives; genre; Harmonic analysis; Hindustani classical music; information retrieval systems; instruments; melody; meta data; Multiple signal classification; music; musical knowledge extraction; music descriptors; musicological basis; music tradition; oscillators; retrieval tasks; rhythm; Shape
17,conferencePaper,2013,"Giorgi, B. D.; Zanoni, M.; Sarti, A.; Tubaro, S.",Automatic chord recognition based on the probabilistic modeling of diatonic modal harmony,"Multidimensional Systems (nDS), 2013. Proceedings of the 8th International Workshop on",,,,,1–6,,,,A1,
18,conferencePaper,2012,"Ujlambkar, A. M.; Attar, V. Z.",Automatic Mood Classification Model for Indian Popular Music,2012 Sixth Asia Modelling Symposium,,,10.1109/AMS.2012.19,,7–12,,,,A1,accuracy; audio files; audio songs; automatic identification; automatic mood classification model; Classification; Classification algorithms; data mining; emotion recognition; feature extraction; human emotions; Indian popular music; mood; music; music mood recognition; pattern classification; spectral audio features; Support Vector Machines; temporal audio features
19,journalArticle,2006,"Lu, Lie; Liu, D.; Zhang, Hong-Jiang",Automatic mood detection and tracking of music audio signals,"IEEE Transactions on Audio, Speech, and Language Processing",,1558-7916,10.1109/TSA.2005.860344,,5–18,,1,14,A1,acoustic signal detection; affective computing; audio signal processing; automatic music mood detection; computer vision; data mining; feature extraction; hierarchical framework; intensity feature set; mood; mood detection; mood tracking; Multiple signal classification; music; music audio signal tracking; music clip emotional expression; music emotion; music information retrieval; music mood; music retrieval; music understanding; psychology; rhythm; rhythm feature set; rhythm regularity; rhythm strength; spectral contrast features; spectral shape features; tempo; Testing; Timbre; timbre feature set
20,conferencePaper,2014,"Vyas, G.; Dutta, M. K.",Automatic mood detection of indian music using mfccs and k-means algorithm,2014 Seventh International Conference on Contemporary Computing (IC3),,,10.1109/IC3.2014.6897159,,117–122,,,,A1,Algorithm design and analysis; audio classification; audio clips; audio signal processing; automatic mood detection; clustering; Clustering algorithms; feature extraction; frame energy; global thresholding; Image edge detection; Indian music; k-means algorithm; learning (artificial intelligence); Mel frequency cepstral coefficient; Mel frequency cepstral coefficients; MFCC; mood; mood detection; mood recognition; music; Peak Detection; peak difference; signal classification; signal detection; silhouette plot; training
21,conferencePaper,2011,"Viny, C. M.; Kurniawan, F.; Tony",Automatic music classification for Dangdut and campursari using Na #x00EF;ve Bayes,Proceedings of the 2011 International Conference on Electrical Engineering and Informatics,,,10.1109/ICEEI.2011.6021738,,1–6,,,,A1,accuracy; Campursari; Campursari music; Dangdut; Dangdut music; Educational institutions; feature extraction; Indonesia; instruments; jSymbolic; learning (artificial intelligence); MIDI file feature extraction; minimum description length principle; music; music classification; music information retrieval; Naïve Bayes; naive Bayes learning algorithm; pattern classification; Testing; training; Training data
22,conferencePaper,2009,"Sun, X.; Tang, Y.",Automatic Music Emotion Classification Using a New Classification Algorithm,2009 Second International Symposium on Computational Intelligence and Design,,,10.1109/ISCID.2009.281,,540–542,,,2,A1,acoustic signal detection; Application software; audio signal processing; classification algorithm; Classification algorithms; cognition; cognitive structure; Computer science; data mining; Educational institutions; emotional expression; emotion recognition; human affection; information cell mixture models; information retrieval; learning (artificial intelligence); mood; music; music clip; music emotion classification; music mood classification; music retrieval; music understanding; signal classification; stress; supervised classification learning; Support Vector Machines; unsupervised concept learning
23,journalArticle,2015,"Ren, J. M.; Wu, M. J.; Jang, J. S. R.",Automatic Music Mood Classification Based on Timbre and Modulation Features,IEEE Transactions on Affective Computing,,1949-3045,10.1109/TAFFC.2015.2427836,,236–246,,3,6,A1,acoustic frequency feature extraction; acoustic-modulation spectral contrast; acoustic-modulation spectral crest measure; acoustic-modulation spectral flatness measure; acoustic-modulation spectral valley; acoustic signal processing; AMSCM; AMSFM; AMSV; audio signal processing; automatic music mood classification; emotion recognition; feature extraction; Frequency modulation; long-term modulation features; Mel frequency cepstral coefficient; modulation analysis; modulation frequency feature extraction; modulation spectral analysis; modulation spectrogram; mood; music; music mood classification; octave-based spectral contrast/valley; pattern classification; short-term timbre modulation features; spectral analysis; spectral flatness/crest measure; statistical analysis; statistical descriptors; Timbre; two-dimensional acoustic frequency representation; two-dimensional modulation frequency representation
24,conferencePaper,2011,"Panagakis, Y.; Kotropoulos, C.",Automatic music mood classification via Low-Rank Representation,2011 19th European Signal Processing Conference,,,,,689–693,,,,A1,accuracy; automatic music mood classification; low-rank representation-based classification; LRRC; Modulation; mood; MTV; music; nearest neighbor classifiers; pattern classification; Psychoacoustic models; slow auditory spectro-temporal modulations; Soundtracks180 datasets; sparse representations-based classifier; Support Vector Machines; training; Vectors
25,conferencePaper,2009,"Lee, J. I.; Yeo, D. G.; Kim, B. M.; Lee, H. Y.",Automatic Music Mood Detection through Musical Structure Analysis,2009 2nd International Conference on Computer Science and its Applications,,,10.1109/CSA.2009.5404218,,1–6,,,,A1,Augmented virtuality; content management; data mining; feature extraction; instruments; mood; Pattern analysis; rhythm; software engineering; stress
26,conferencePaper,2012,"Liu, Jen-Yu; Yeh, Chin-Chia; Yang, Yi-Hsuan; Teng, Yuan-Ching",Bilingual Analysis of Song Lyrics and Audio Words,Proceedings of the 20th ACM International Conference on Multimedia,978-1-4503-1089-5,,10.1145/2393347.2396323,http://doi.acm.org/10.1145/2393347.2396323,829–832,,,,A1,audioword; LDA; MLLDA; sparse coding; topic model
27,conferencePaper,2014,"Zhu, Shenggao; Cai, Jingli; Zhang, Jiangang; Li, Zhonghua; Wang, Ju-Chiang; Wang, Ye",Bridging the User Intention Gap: An Intelligent and Interactive Multidimensional Music Search Engine,Proceedings of the First International Workshop on Internet-Scale Multimedia Management,978-1-4503-3157-9,,10.1145/2661714.2661720,http://doi.acm.org/10.1145/2661714.2661720,59–64,,,,A1,feedback functions; graphical query interface; intention gap; query suggestion and un-suggestion; query weights
28,conferencePaper,2016,"Kartikay, A.; Ganesan, H.; Ladwani, V. M.",Classification of music into moods using musical features,2016 International Conference on Inventive Computation Technologies (ICICT),,,10.1109/INVENTIVE.2016.7830197,,1–5,,,3,A1,arousal value; arousal values; Bayes methods; classification algorithm; Classification algorithms; Databases; Decision trees; feature extraction; linear discriminant analysis; mood; music; musical feature extraction; musical form; Musical mood; musical style; music classification; naive bayes; Naïve Bayes; support vector machine; Support Vector Machines; SVM; Valance Values; valence value
29,journalArticle,2014,"Rodà, A.; Canazza, S.; Poli, G. De",Clustering Affective Qualities of Classical Music: Beyond the Valence-Arousal Plane,IEEE Transactions on Affective Computing,,1949-3045,10.1109/TAFFC.2014.2343222,,364–376,,4,5,A1,affective dimensions; affective potency; affective qualities clustering; arousal dimensions; automated mood analysis; behavioural sciences; classical music; complex audio excerpts; computable musical features; emotion recognition; emotions; energy; features identification; loudness; modality; music; musical features; music information retrieval; physiology; potency; potency dimension; real music recordings; roughness; secondary emotion dimensions; spectral flux; stress; tempo; tension; user interfaces; valence-arousal plane; valence dimensions
30,conferencePaper,2008,"Pao, T. L.; Cheng, Y. M.; Yeh, J. H.; Chen, Y. T.; Pai, C. Y.; Tsai, Y. W.",Comparison between Weighted D-KNN and Other Classifiers for Music Emotion Recognition,2008 3rd International Conference on Innovative Computing Information and Control,,,10.1109/ICICIC.2008.679,,530–530,,,,A1,context awareness; Databases; data mining; digital music libraries; emotion recognition; feature extraction; information retrieval; mood; mood classification; music; music emotion recognition; music information retrieval; pattern classification; psychology; software libraries; Support Vector Machines; weighted D-KNN classification
31,conferencePaper,2011,"Lo, H. Y.; Wang, J. C.; Wang, H. M.; Lin, S. D.",Cost-sensitive stacking for audio tag annotation and retrieval,"2011 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,10.1109/ICASSP.2011.5946944,,2308–2311,,,,A1,audio retrieval; audio signal processing; audio tag annotation; audio tag retrieval; Correlation; cost-sensitive classification problem; cost-sensitive learning; cost-sensitive multilabel learning problem; cost-sensitive stacking; feature extraction; information retrieval; learning (artificial intelligence); MIREX 2009 winning method; mood; multi-label; multilabel classification problem; music; music clip; signal classification; Stacking; Support Vector Machines; tag correlation; tag count; tagging; training
32,conferencePaper,2014,"Hu, Xiao; Yang, Yi-Hsuan",Cross-cultural Mood Regression for Music Digital Libraries,Proceedings of the 14th ACM/IEEE-CS Joint Conference on Digital Libraries,978-1-4799-5569-5,,,http://dl.acm.org/citation.cfm?id=2740769.2740873,471–472,,,,A1,Abstracts; arousal values; cross-cultural; cross-cultural mood regression; cultural aspects; digital libraries; Length measurement; Libraries; mood; music; music digital libraries; music mood; online music repositories; regression; regression analysis; Size measurement; valence values; Vectors
33,journalArticle,2016,"Hu, X.; Yang, Y. H.",Cross-dataset and Cross-cultural Music Mood Prediction: A Case on Western and Chinese Pop Songs,IEEE Transactions on Affective Computing,,1949-3045,10.1109/TAFFC.2016.2523503,,1–1,,99,PP,A1,computational modeling; cross-cultural; cross-dataset; cultural differences; evaluation; generalizability; mood; music; music mood prediction; Predictive models; regression model; reliability
34,conferencePaper,2016,"Thomas, M.; Murthy, Y. V. S.; Koolagudi, S. G.",Detection of largest possible repeated patterns in Indian audio songs using spectral features,2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),,,10.1109/CCECE.2016.7726863,,1–5,,,,A1,audio signal processing; CB-MIR; cepstral analysis; Complexity theory; computational time; content based music information retrieval; Databases; direct signal level; feature extraction; feature level; Fractals; Indian audio song; information retrieval; jitter; largest possible repeated pattern detection; Maximal length repeating patterns; maximum length repeating pattern; mel-frequency cepstral coefficient; Mel frequency cepstral coefficient; MFCC; MLRP; Modulation; modulation spectral feature; MSF; music; music file; repeating pattern extraction; ringtone; Similarity measures and Modulation spectral features; Song complexity analysis; spectral feature; Spectrogram
35,conferencePaper,2012,"Gunes, Hatice; Schuller, Björn",Dimensional and Continuous Analysis of Emotions for Multimedia Applications: A Tutorial Overview,Proceedings of the 20th ACM International Conference on Multimedia,978-1-4503-1089-5,,10.1145/2393347.2396552,http://doi.acm.org/10.1145/2393347.2396552,1531–1532,,,,A1,affective computing; audio/visual emotion recognition; continuous analysis; dimensional emotion prediction; music mood classification; sentiment analysis; tutorial
36,conferencePaper,2008,"Wu, W.; Xie, L.",Discriminating Mood Taxonomy of Chinese Traditional Music and Western Classical Music with Content Feature Sets,2008 Congress on Image and Signal Processing,,,10.1109/CISP.2008.272,,148–152,,,5,A1,acoustic signal processing; Bayesian methods; data mining; feature extraction; Laboratories; mir; mood; mood taxonomy; Multiple signal classification; music information retrieval; psychology; taxonomy
37,conferencePaper,2016,"Taneja, R.; Bhatia, A.; Monga, J.; Marwaha, P.",Emotion detection of audio files,2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom),,,,,2397–2400,,,,A1,audio features; audio file; audio signal processing; Classification; Conferences; content based feature analysis; context based features; Decision support systems; emotion detection; emotion recognition; feature extraction; Handheld computers; jAudio; mood detection; music; music information retrieval; signal classification
38,conferencePaper,2015,"Bargaje, M.",Emotion recognition and emotion based classification of audio using genetic algorithm - an optimized approach,2015 International Conference on Industrial Instrumentation and Control (ICIC),,,10.1109/IIC.2015.7150805,,562–567,,,,A1,Arousal-Valence method; audio classification; audio signal processing; Classification algorithms; computational modeling; Databases; emotion based classification; emotion based music classification; emotion recognition; feature extraction; genetic algorithm; genetic algorithms; instruments; Mel frequency cepstral coefficient; mood; mood based music classification; music; music classification; music emotion detection; music emotion recognition; music information retrieval; optimal feature selection; signal classification
39,conferencePaper,2010,"Wang, J.; Anguera, X.; Chen, X.; Yang, D.",Enriching music mood annotation by semantic association reasoning,2010 IEEE International Conference on Multimedia and Expo,,,10.1109/ICME.2010.5583243,,1445–1450,,,,A1,accuracy; Annotation; audio content; cognition; content-based information; extra-musical information; information retrieval; metadata; meta data; mood; music; music mood annotation; music-mood-specific ontology; ontologies; ontologies (artificial intelligence); ontology; ontology-based semantic reasoning methods; Psychoacoustic models; semantic association reasoning; semantic reasoning; semantics; Social music; Web-based resources
40,conferencePaper,2012,"Wang, Ju-Chiang; Yang, Yi-Hsuan; Chang, Kaichun; Wang, Hsin-Min; Jeng, Shyh-Kang",Exploring the Relationship Between Categorical and Dimensional Emotion Semantics of Music,Proceedings of the Second International ACM Workshop on Music Information Retrieval with User-centered and Multimodal Strategies,978-1-4503-1591-3,,10.1145/2390848.2390865,http://doi.acm.org/10.1145/2390848.2390865,63–68,,,,A1,automatic layout of tag cloud; computational music emotion analysis; multi-modal emotion semantic modeling
41,conferencePaper,2010,"Schmidt, Erik M.; Turnbull, Douglas; Kim, Youngmoo E.","Feature Selection for Content-based, Time-varying Musical Emotion Regression",Proceedings of the International Conference on Multimedia Information Retrieval,978-1-60558-815-5,,10.1145/1743384.1743431,http://doi.acm.org/10.1145/1743384.1743431,267–274,,,,A1,audio features; emotion recognition; machine learning; regression
42,conferencePaper,2011,"Miyoshi, M.; Tsuge, S.; Oyama, T.; Ito, M.; Fukumi, M.",Feature selection method for music mood score detection,"2011 Fourth International Conference on Modeling, Simulation and Applied Optimization",,,10.1109/ICMSAO.2011.5775562,,1–6,,,,A1,accuracy; acoustic features; acoustic signal processing; Brightness; Correlation; feature extraction; feature selection; feature selection method; information retrieval; mood; Mood score detection; multi-layer neural networks; music; music classification; music genre classification; music mood; music mood score detection; music retrieval; Music retrieval and classification; neural nets; pattern classification; signal detection; Timbre
43,conferencePaper,2009,"Bogdanov, D.; Serrà, J.; Wack, N.; Herrera, P.",From Low-Level to High-Level: Comparative Study of Music Similarity Measures,2009 11th IEEE International Symposium on Multimedia,,,10.1109/ISM.2009.72,,453–458,,,,A1,cepstral analysis; content-based; data mining; Distance measurement; Extraterrestrial measurements; high-level semantic measure; instruments; low-level measure; mood; music; music information research community; music information retrieval; Music Recommendation; music similarity measures; recommender systems; rhythm; semantic similarity; similarity measures; Support Vector Machines; tempo-related aspects
44,journalArticle,2011,"Saari, P.; Eerola, T.; Lartillot, O.",Generalizability and Simplicity as Criteria in Feature Selection: Application to Mood Classification in Music,"IEEE Transactions on Audio, Speech, and Language Processing",,1558-7916,10.1109/TASL.2010.2101596,,1802–1812,,6,19,A1,accuracy; audio signal processing; backward elimination; Bayes methods; content-based music retrieval; cross-indexing; dimension reduction method; emotion recognition; feature extraction; feature selection; film soundtrack; forward selection; k-NN; Materials; mir; mood; mood classification; music; musical audio signal classification; musical features; music and emotion; music information retrieval; naive bayes; overfitting; Prediction algorithms; signal classification; Support Vector Machines; SVM classifier; wrapper selection
45,conferencePaper,2012,"Lee, Jin Ha; Hu, Xiao",Generating Ground Truth for Music Mood Classification Using Mechanical Turk,Proceedings of the 12th ACM/IEEE-CS Joint Conference on Digital Libraries,978-1-4503-1154-0,,10.1145/2232817.2232842,http://doi.acm.org/10.1145/2232817.2232842,129–138,,,,A1,Crowdsourcing; evaluation; Gold Standard; ground truth; mechanical turk; mood; music information retrieval
46,conferencePaper,2012,"Ying, Teh Chao; Doraisamy, S.; Abdullah, Lili Nurliyana",Genre and mood classification using lyric features,2012 International Conference on Information Retrieval Knowledge Management,,,10.1109/InfRKM.2012.6204985,,260–263,,,,A1,accuracy; audio features; feature extraction; hidden Markov models; information retrieval; internet; Libraries; lyric features; Lyrics Analysis; mir; mood; music; musical acoustics; musical genre; Musical mood; music genre classification; music information retrieval; music mood classification; part-of-speech feature; pattern classification; POS feature; song collection
47,journalArticle,2016,"Saari, P.; Fazekas, G.; Eerola, T.; Barthet, M.; Lartillot, O.; Sandler, M.",Genre-Adaptive Semantic Computing and Audio-Based Modelling for Music Mood Annotation,IEEE Transactions on Affective Computing,,1949-3045,10.1109/TAFFC.2015.2462841,,122–135,,2,7,A1,ACTwg-SLPwg; arousal; audio-based modelling; audio signal processing; automatic music mood annotation; Biological system modeling; computational modeling; concise tag-based genre representation; genre-adaptive; genre-adaptive music mood analysis; genre-adaptive semantic computing; information retrieval; listener rating prediction; mood; mood prediction; mood-related social tags; music; music genre; music information retrieval; music tracks; Predictive models; Semantic computing; semantics; social networking (online); social tags; tension; training; valence; valence dimension
48,conferencePaper,2016,"Summers, Cameron; Tronel, Greg; Cramer, Jason; Vartakavi, Aneesh; Popp, Phillip",GNMID14: A Collection of 110 Million Global Music Identification Matches,Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval,978-1-4503-4069-4,,10.1145/2911451.2914679,http://doi.acm.org/10.1145/2911451.2914679,693–696,,,,A1,collection; content identification; dataset; fingerprint; genre; geotemporal; mood; music; similarity; test
49,conferencePaper,2011,"Matsui, T.; Goto, M.; Vert, J. P.; Uchiyama, Y.",Gradient-based musical feature extraction based on scale-invariant feature transform,2011 19th European Signal Processing Conference,,,,,724–728,,,,A1,accuracy; cover song identification; feature extraction; genre classification; gradient-based musical feature extraction; gradient methods; ISMIR2004 contest; music; music application; music data capture; music mood classification; pitch shift; Robustness; scale-invariant feature transform; Spectrogram; support-vector-machine-based method; Support Vector Machines; Testing; training; Vectors
50,journalArticle,2012,"Li, J.; Shao, B.; Li, T.; Ogihara, M.",Hierarchical Co-Clustering: A New Way to Organize the Music Data,IEEE Transactions on Multimedia,,1520-9210,10.1109/TMM.2011.2181151,,471–481,,2,14,A1,agglomerative hierarchical coclustering; All Music Guide; artist-related style; artist similarity; Clustering algorithms; Co-clustering; data clustering; hierarchical clustering; hierarchical organization; information retrieval; instance-level constraints; Last.fm; mood; mood labels; Multiple signal classification; music; music data organization; music information retrieval; music listening Web sites; Organizations; Organizing; pattern clustering; Standards organizations; user-assigned tags; user tags; Web sites
51,conferencePaper,2010,"Lo, H. Y.; Wang, J. C.; Wang, H. M.",Homogeneous segmentation and classifier ensemble for audio tag annotation and retrieval,2010 IEEE International Conference on Multimedia and Expo,,,10.1109/ICME.2010.5583009,,304–309,,,,A1,accuracy; AdaBoost classifier; audio feature extraction; audio novelty curve; audio segmentation; audio signal processing; audio tag annotation; audio tag retrieval; calibrated probability scores; Classification algorithms; classifier ensemble; ensemble classifier; ensemble method; feature extraction; F-measure; frame-based feature vector sequence format; homogeneous segmentation; information retrieval; measurement; MIREX 2009 audio tag classification task; music database; probability; probability ensemble; ranking ensemble; ROC curve; signal classification; Support vector machine classification; Support Vector Machines; SVM classifier; training
52,conferencePaper,2009,"Bischoff, Kerstin; Firan, Claudiu S.; Nejdl, Wolfgang; Paiu, Raluca","How Do You Feel About ""Dancing Queen""?: Deriving Mood & Theme Annotations from User Tags",Proceedings of the 9th ACM/IEEE-CS Joint Conference on Digital Libraries,978-1-60558-322-8,,10.1145/1555400.1555448,http://doi.acm.org/10.1145/1555400.1555448,285–294,,,,A1,collaborative tagging; high-level music descriptors; metadata enrichment; mood and theme tag recommendation
53,conferencePaper,2011,"Krishna, A. S.; Rajkumar, P. V.; Saishankar, K. P.; John, M.",Identification of Carnatic raagas using Hidden Markov Models,2011 IEEE 9th International Symposium on Applied Machine Intelligence and Informatics (SAMI),,,10.1109/SAMI.2011.5738857,,107–110,,,,A1,acoustic signal processing; Carnatic musician; Carnatic raaga; Estimation; feature extraction; Frequency estimation; Harmonic analysis; hidden Markov model backend system; hidden Markov models; information extraction; log frequency domain; Mathematical model; Multiple signal classification; music; music recognition; music sample extraction; raaga; Raaga identification; specmurt; Specmurt analysis; swara
